,length,width,arch_height,shoe_style,length_size,width_size
98365,0.266685245,0.10438763,0.0117713805,a,11.0,8
98156,0.27942045,0.11047173,0.0149344945,a,12.5,8
122001,0.277972385,0.10477051,0.0190854875,m,12.0,6
98504,0.28338530500000003,0.113252225,0.0070143936,a,12.0,8
99413,0.2800498,0.10323747,0.016376123,a,11.5,6
122242,0.27064225000000003,0.100420695,0.00877478185,m,11.0,6
98141,0.28935465,0.10940177,0.010242989050000002,a,12.5,6
122598,0.279743295,0.104533525,0.008362053000000001,m,11.5,6
99427,0.28435415,0.106321625,0.011752191,a,13.0,6
99378,0.268232135,0.10511643,0.019930173500000002,a,11.5,8
122055,0.27163961000000003,0.101906385,0.0165504505,m,11.5,6
98337,0.26345159,0.0995185975,0.012419544499999999,a,10.0,6
123226,0.28759037,0.109156485,0.015475675500000001,m,12.0,10
98246,0.272597685,0.0985758385,0.0032469590500000005,a,11.0,6
122849,0.251533075,0.09481648349999999,0.016342839999999997,m,8.5,6
121586,0.26441942,0.09949602,0.017176148999999998,m,10.0,6
97625,0.267726005,0.096969001,0.0138528865,a,10.0,8
100153,0.25914426,0.09948113800000001,0.00847814385,a,9.0,6
121740,0.2513936,0.096286759,0.0156779755,m,9.0,8
99674,0.2639977000000001,0.105305815,0.0133587295,a,10.5,10
99708,0.24644517,0.09967029949999999,0.0107639241,a,8.0,8
99806,0.274051205,0.101565335,0.013118139,a,11.0,6
123119,0.274005785,0.100680435,0.021319406000000003,m,11.0,6
99356,0.2792148,0.10821917,0.0101826916,a,11.5,8
